year,month,day,hour,minute,second,AN311,AN422,AN423,TP1721,RH1722,BA1723,TP1711,RH1712,BA1713,MM252,MM261,MM262,MM263,MM264,MM256,MM211,CM861,CR863,P_864,TC862,WM868,AMP1_IR,AMP2_IR,DMP3_IR,DMP4_IR,AMP5_IR,F_SIDE,V,Risk_Level
2014,3,2,0,0,13,3.2,1.6,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,LOW
2014,3,2,0,0,14,3.2,1.6,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,15,3.2,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,16,3.2,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,6,4,0,0,0,LOW
2014,3,2,0,0,17,3.2,1.6,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,6,4,0,0,0,LOW
2014,3,2,0,0,18,3.2,1.6,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,19,3.2,1.6,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,20,3.2,1.6,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,LOW
2014,3,2,0,0,21,3.2,1.6,1.4,24.7,42,1097.2,27.3,54,1096.6,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,LOW
2014,3,2,0,0,22,3.2,1.6,1.4,24.7,42,1097.2,27.3,54,1096.6,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,23,3.3,1.6,1.4,24.7,42,1097.2,27.3,54,1096.6,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,24,3.3,1.6,1.4,24.7,42,1097.2,27.3,54,1096.6,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,6,4,0,0,0,LOW
2014,3,2,0,0,25,3.3,1.6,1.4,24.6,42,1097.2,27.3,54,1096.6,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,26,3.3,1.6,1.4,24.6,42,1097.2,27.3,54,1096.6,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,LOW
2014,3,2,0,0,27,3.3,1.6,1.5,24.6,42,1097.2,27.3,54,1096.6,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,MEDIUM
2014,3,2,0,0,28,3.3,1.6,1.5,24.6,42,1097.2,27.3,54,1096.6,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,MEDIUM
2014,3,2,0,0,29,3.3,1.6,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,0,30,3.3,1.6,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,31,3.3,1.6,1.5,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,0,32,3.3,1.6,1.5,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,0,33,3.3,1.6,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,0,34,3.3,1.6,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,0,35,3.3,1.6,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,0,36,3.3,1.6,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,37,3.3,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,38,3.3,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,LOW
2014,3,2,0,0,39,3.4,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,MEDIUM
2014,3,2,0,0,40,3.4,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,6,4,0,0,0,LOW
2014,3,2,0,0,41,3.4,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,6,4,0,0,0,MEDIUM
2014,3,2,0,0,42,3.4,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,0,43,3.5,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,MEDIUM
2014,3,2,0,0,44,3.5,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,HIGH
2014,3,2,0,0,45,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,0,46,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,6,4,0,0,0,HIGH
2014,3,2,0,0,47,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,0,48,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,0,49,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,0,50,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,MEDIUM
2014,3,2,0,0,51,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,0,52,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,HIGH
2014,3,2,0,0,53,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,HIGH
2014,3,2,0,0,54,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,0,55,3.7,1.5,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,0,56,3.7,1.5,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,HIGH
2014,3,2,0,0,57,3.7,1.5,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,MEDIUM
2014,3,2,0,0,58,3.7,1.5,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,0,59,3.7,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,0,3.7,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,1,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,MEDIUM
2014,3,2,0,1,2,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,HIGH
2014,3,2,0,1,3,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,4,3.6,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,5,3.5,1.7,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,6,3.5,1.7,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,7,3.5,1.6,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,MEDIUM
2014,3,2,0,1,8,3.5,1.6,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,1,9,3.4,1.7,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,10,3.4,1.7,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,MEDIUM
2014,3,2,0,1,11,3.4,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,6,4,0,0,0,MEDIUM
2014,3,2,0,1,12,3.4,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,1,13,3.4,1.7,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,14,3.4,1.7,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,15,3.4,1.7,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,16,3.4,1.7,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,17,3.5,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,HIGH
2014,3,2,0,1,18,3.5,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,1,19,3.4,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,LOW
2014,3,2,0,1,20,3.4,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,LOW
2014,3,2,0,1,21,3.4,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,6,4,0,0,0,LOW
2014,3,2,0,1,22,3.4,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,LOW
2014,3,2,0,1,23,3.4,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,MEDIUM
2014,3,2,0,1,24,3.4,1.6,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,1,25,3.4,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,1,26,3.4,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,1,27,3.4,1.7,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,1,28,3.4,1.7,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,HIGH
2014,3,2,0,1,29,3.4,1.7,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,30,3.4,1.7,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,31,3.4,1.7,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,32,3.4,1.7,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,HIGH
2014,3,2,0,1,33,3.4,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,HIGH
2014,3,2,0,1,34,3.4,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,1,35,3.4,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,6,4,0,0,0,MEDIUM
2014,3,2,0,1,36,3.4,1.7,1.4,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,1,37,3.4,1.7,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,HIGH
2014,3,2,0,1,38,3.4,1.7,1.5,24.6,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.2,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,MEDIUM
